"date","close","volume","open","high","low"
"16:00","2.20","4,299,775","2.20","2.24","2.17"
"2015/11/04","2.2000","8205318.0000","2.2700","2.3000","2.1800"
"2015/11/03","2.2800","8704415.0000","2.1600","2.2900","2.1600"
"2015/11/02","2.1900","5851132.0000","2.1300","2.1900","2.1100"
"2015/10/30","2.1200","4897116.0000","2.1400","2.1500","2.1200"
"2015/10/29","2.1300","4496887.0000","2.1500","2.1800","2.1100"
"2015/10/28","2.1800","6950462.0000","2.1400","2.2000","2.1200"
"2015/10/27","2.1500","5740686.0000","2.1200","2.1600","2.1000"
"2015/10/26","2.1500","6313499.0000","2.2100","2.2100","2.1200"
"2015/10/23","2.2100","9554983.0000","2.1000","2.2100","2.1000"
"2015/10/22","2.1400","8207419.0000","2.1000","2.1600","2.0900"
"2015/10/21","2.1000","14961000.0000","2.0200","2.1200","2.0100"
"2015/10/20","2.0200","5574769.0000","2.0000","2.0300","1.9700"
"2015/10/19","2.0100","10670660.0000","1.9100","2.0100","1.9100"
"2015/10/16","1.9400","21271000.0000","2.0000","2.0000","1.8900"
"2015/10/15","1.9700","27268150.0000","1.9700","2.0600","1.9500"
"2015/10/14","1.9500","10182280.0000","1.9200","1.9600","1.9200"
"2015/10/13","1.9200","6687943.0000","1.8700","1.9400","1.8600"
"2015/10/12","1.8700","7687701.0000","1.9600","1.9600","1.8500"
"2015/10/09","1.9600","8625861.0000","1.9200","1.9600","1.8900"
"2015/10/08","1.9300","9197867.0000","1.8700","1.9475","1.8500"
"2015/10/07","1.8600","7858632.0000","1.8200","1.8700","1.8200"
"2015/10/06","1.8300","8663497.0000","1.8000","1.8600","1.8000"
"2015/10/05","1.8000","7595260.0000","1.8200","1.8700","1.7700"
"2015/10/02","1.8300","7138787.0000","1.7600","1.8300","1.7200"
"2015/10/01","1.7400","5514019.0000","1.7700","1.7700","1.7200"
"2015/09/30","1.7200","5737704.0000","1.7000","1.7200","1.6800"
"2015/09/29","1.6700","7004223.0000","1.6700","1.6900","1.6500"
