"date","close","volume","open","high","low"
"16:00","139.89","5,088,681","141.60","142.38","139.63"
"2015/11/03","141.8800","4349317.0000","140.0200","142.8000","139.9000"
"2015/11/02","140.3700","3822205.0000","140.5000","140.5165","139.5700"
"2015/10/30","140.0800","3975336.0000","140.4400","141.3300","139.9000"
"2015/10/29","140.5500","3703215.0000","140.3600","140.8200","139.0201"
"2015/10/28","140.8300","8502681.0000","137.9200","141.2300","137.5000"
"2015/10/27","137.8600","14997830.0000","143.5100","143.8300","137.3300"
"2015/10/26","143.6600","3485906.0000","144.7500","145.0000","143.2100"
"2015/10/23","144.6800","5363390.0000","144.6100","145.4900","143.7000"
"2015/10/22","144.0900","5568059.0000","141.7400","145.0700","141.6200"
"2015/10/21","140.9200","7124230.0000","140.2500","142.6600","139.3000"
"2015/10/20","140.6400","15973290.0000","142.4900","142.8800","140.2700"
"2015/10/19","149.2200","7784210.0000","149.8500","149.9700","148.3800"
"2015/10/16","150.3900","3477632.0000","150.4500","151.2000","149.2600"
"2015/10/15","150.0900","3475724.0000","150.9100","151.2400","148.5800"
"2015/10/14","150.0100","3348472.0000","149.6000","150.6500","149.0200"
"2015/10/13","149.6200","3915682.0000","150.7800","150.7800","149.1800"
"2015/10/12","151.1400","3225252.0000","152.4000","152.5800","150.8500"
"2015/10/09","152.3900","3531007.0000","152.4600","153.1470","151.2700"
"2015/10/08","152.2800","4781062.0000","149.6900","153.0190","149.2900"
"2015/10/07","150.0900","2986110.0000","150.0400","150.7300","148.8565"
"2015/10/06","148.7800","3011246.0000","149.0600","150.1500","148.4900"
"2015/10/05","149.0400","5127784.0000","145.8200","149.8925","145.8200"
"2015/10/02","144.5800","3053628.0000","141.0500","144.5900","140.5600"
"2015/10/01","143.5900","3876222.0000","145.3100","145.6700","141.5900"
"2015/09/30","144.9700","3943084.0000","143.6900","145.7100","143.6600"
"2015/09/29","142.4700","4763509.0000","141.9900","142.6600","141.1501"
"2015/09/28","142.5200","4314456.0000","144.4200","145.3800","142.4700"
"2015/09/25","145.4200","3465167.0000","145.5500","146.2700","144.5300"
"2015/09/24","144.4100","3266646.0000","142.6000","145.0700","141.9500"
"2015/09/23","143.6600","2674220.0000","144.2100","144.5700","142.7500"
"2015/09/22","144.4300","3557686.0000","144.6200","145.0600","143.7699"
"2015/09/21","146.4800","3824258.0000","145.3900","146.9800","144.9200"
"2015/09/18","144.5100","7939583.0000","146.0500","146.3850","143.9800"
"2015/09/17","148.1400","3959184.0000","148.1000","149.6800","147.3000"
"2015/09/16","148.4100","2799222.0000","147.8400","148.8900","147.5400"
"2015/09/15","147.5300","2713661.0000","146.6000","147.9300","145.7600"
"2015/09/14","145.6500","3220004.0000","147.3700","147.3700","145.4100"
"2015/09/11","147.3700","3113803.0000","145.9100","147.5000","145.6700"
